volume_lookback,high_volume_percentile_threshold,atr_length,max_displacement_atr,near_vwap_threshold_atr,reversal_horizon_bars,events,trades,hit_rate,baseline_hit_rate,lift_pp,expectancy_after_cost,profit_factor,max_drawdown,positive_folds,min_fold_trades,neighbor_count,simplicity_score,survives_oos_fold_gate,fold_totals,rank_score
75,97.5,60,0.5,0.5,20,260,243,0.7695473251028807,0.35390946502057613,41.56378600823046,12.535623993687022,1.3188190518044844,-1325.6503914962886,5,48,8,0.5154871481964207,True,"[703.7237372404197, 459.3179995850078, 1688.4448724498106, 69.7983667089211, 124.87165448178712]",49.54655998634022
100,97.5,20,0.3,0.75,5,113,106,0.6320754716981132,0.2830188679245283,34.90566037735849,16.220130641991243,1.3637262212928014,-695.5,4,21,6,0.3694427445760178,True,"[307.3916013889175, -369.3708351652567, 137.33411380249163, 722.3742057814998, 921.6047622434198]",48.96917800110254
100,97.5,20,0.3,0.5,20,142,135,0.7333333333333333,0.362962962962963,37.03703703703703,14.310138807733717,1.2653483605582105,-1400.3768841477358,5,27,7,0.4557304839801707,True,"[560.8505566444564, 119.26997693764497, 499.87026454050647, 510.80628992822676, 241.0716509932172]",47.89116657932275
100,97.5,60,0.2,0.1,10,163,156,0.8846153846153846,0.42948717948717946,45.51282051282051,8.46679256409103,1.332156328429071,-1611.4790684875989,5,31,8,0.6512686169935186,True,"[281.17520722057816, 293.4813181157915, 268.98245045358635, 313.7005304967606, 163.4801337114841]",47.71185847183243
100,97.5,40,0.2,0.1,10,171,165,0.8909090909090909,0.42424242424242425,46.666666666666664,8.092427252140293,1.319782180961118,-1476.863464418857,5,33,8,0.5366725540292527,True,"[69.14538738726696, 293.7338604237266, 360.40897974815744, 331.3665312637713, 280.59573778022605]",47.61964502651581
100,97.5,80,0.2,0.1,20,174,167,0.8862275449101796,0.3652694610778443,52.09580838323353,6.718172259930496,1.2491527353782796,-1443.9790684875989,5,33,6,0.5366725540292527,True,"[110.33521136981835, 385.0577570056994, 142.68268352185987, 319.50834254627625, 164.350772964739]",47.56381417889831
100,97.5,80,0.2,0.1,10,174,167,0.8802395209580839,0.3712574850299401,50.89820359281438,6.824636121982839,1.267569957124342,-1611.4790684875989,5,33,7,0.5366725540292527,True,"[18.168544703152293, 312.2014384505783, 346.1826835218599, 246.81079273080468, 216.350772964739]",47.35607008066232
100,97.5,20,0.3,0.25,5,237,230,0.7565217391304347,0.36086956521739133,39.565217391304344,11.205119752039252,1.4053121873034564,-701.5986476949038,4,46,9,0.43350483029203835,True,"[377.6333859587212, -522.2246331497117, 925.1965277433555, 353.37401731919454, 1443.1982450974683]",47.17667770020513
75,97.5,60,0.5,0.75,20,181,164,0.6951219512195121,0.3353658536585366,35.975609756097555,15.060656457508685,1.3062931124790953,-1461.4428749113504,4,32,7,0.4673088109406496,True,"[417.46661211051287, 116.58163219754351, 977.5027341954847, 1001.9511910984947, -43.554510570611455]",46.91091095862434
200,95.0,60,0.3,0.75,20,418,399,0.6917293233082706,0.3408521303258145,35.08771929824561,14.025730304274187,1.2852618203387398,-1988.6010108277624,5,79,9,0.3700141960892064,True,"[878.5217210751889, 326.84224514783637, 479.9189934922142, 2747.031038631925, 1163.9523930582363]",46.65054005084711
